evm.model.Seg3411.1	0.078	0.026	0.021	0.067	0.015	0.000	0.179	0.000	0.000	0.000	0.166	0.016	0.017	0.000	0.000	0.110	0.046	0.000
evm.model.Seg3411.2	0.000	0.000	0.000	0.000	0.000	0.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg3411.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg3411.4	0.000	0.077	0.035	0.054	0.030	0.111	0.000	0.000	0.020	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.072
evm.model.Seg3411.5	0.000	0.891	0.403	0.000	0.097	0.077	2.148	0.075	0.000	0.074	0.387	0.320	0.000	0.000	1.582	0.000	0.000	1.012
evm.model.Seg3411.6	0.000	0.000	0.889	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg3511.1	0.885	8.653	0.618	1.165	3.860	3.369	2.173	1.920	1.516	2.111	3.459	2.650	2.920	1.706	3.245	4.310	0.693	5.568
evm.model.Seg3511.1.1.57f48f7a	0.737	0.000	0.215	0.502	0.238	0.000	0.000	0.843	1.034	0.456	0.400	1.075	0.703	3.933	0.000	0.000	2.319	0.000
evm.model.Seg3511.2	34.118	60.310	26.061	17.649	8.686	14.605	31.423	29.099	24.126	27.087	29.064	31.886	26.849	48.654	37.822	50.678	34.751	39.963
evm.model.Seg3511.3	0.070	0.568	0.848	0.482	1.116	1.274	4.653	2.389	3.805	4.091	2.071	1.403	1.299	0.000	0.000	0.000	0.000	0.000
evm.model.Seg3511.4	9.290	14.955	11.505	12.501	9.579	13.228	37.049	16.320	17.038	18.514	14.063	14.487	14.524	11.718	34.740	35.155	14.229	32.558
evm.model.Seg3511.5	1.389	0.000	0.730	1.366	0.818	1.077	0.793	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.662	2.681	6.161
evm.model.Seg3511.5.1.57f48f7a	0.574	2.686	0.625	1.198	0.231	0.000	0.332	4.619	5.392	6.398	8.740	6.316	4.963	6.332	7.443	8.583	1.710	2.777
evm.model.Seg3511.6	7.451	8.640	7.747	9.166	10.129	7.302	3.810	11.040	10.954	13.009	18.122	14.503	15.194	9.505	2.393	3.470	7.627	9.228
evm.model.Seg3611.1	2.996	1.950	2.772	2.163	5.793	5.071	0.946	2.400	1.958	1.674	1.546	1.501	1.596	6.044	0.507	0.804	1.926	0.434
evm.model.Seg3711.1	0.186	1.188	0.299	1.466	0.654	2.565	0.000	0.085	0.131	0.232	0.525	0.369	0.256	0.164	0.892	0.000	0.324	0.087
evm.model.Seg3711.2	0.644	0.930	0.354	1.493	0.818	1.223	1.125	0.075	0.141	0.707	2.071	0.722	0.480	0.507	0.000	0.000	0.909	0.752
evm.model.Seg3711.3	0.473	1.033	0.695	2.323	0.744	1.830	1.432	0.363	0.221	1.209	2.824	1.116	1.249	1.179	1.318	0.347	0.940	1.258
evm.model.Seg3711.4	0.085	1.317	0.195	0.703	0.223	0.222	0.000	1.387	1.114	1.144	0.255	0.033	0.157	0.000	0.000	0.000	0.000	0.000
evm.model.Seg3811.1	11.782	18.132	21.607	16.772	15.357	11.082	14.063	16.800	12.339	12.116	12.454	15.553	16.824	12.115	3.650	8.510	4.930	2.141
evm.model.Seg3811.2	84.799	121.304	69.546	55.974	41.958	93.563	469.920	58.636	61.204	49.534	11.736	25.471	28.536	0.000	1.136	8.255	0.000	0.000
evm.model.Seg3811.3	13.644	17.189	14.354	13.886	7.541	11.783	23.293	12.288	12.681	12.795	14.387	11.648	11.919	12.917	20.219	20.235	11.032	29.188
evm.model.Seg3811.4	2.313	5.049	4.217	5.129	4.388	2.403	1.662	2.112	2.319	2.594	1.408	1.928	1.820	2.604	3.306	2.703	2.912	2.719
evm.model.Seg3811.5	0.000	0.555	19.572	15.915	5.459	1.419	1.483	0.416	0.281	0.084	0.808	1.665	0.505	0.000	0.000	0.128	0.000	0.145
evm.model.Seg3811.6	0.000	0.956	0.000	0.000	1.368	0.932	0.000	0.939	0.000	0.000	0.000	0.189	3.515	2.995	2.129	0.000	0.000	0.000
evm.model.Seg3911.1	1.506	1.614	2.154	1.982	9.118	4.831	1.202	2.048	2.440	2.910	5.198	4.881	4.847	6.160	0.548	1.662	2.920	0.419
evm.model.Seg3911.2	0.078	0.103	0.000	1.359	1.071	0.111	0.000	0.309	0.673	1.237	1.719	6.579	6.998	8.072	6.327	0.000	0.632	0.000
evm.model.Seg4844.1	0.000	1.498	10.060	8.751	5.206	4.669	3.222	18.784	14.819	17.547	10.065	8.146	6.551	13.726	7.341	3.853	7.010	9.517
evm.model.Seg4844.1.1.57f48f7c	3.376	3.099	6.357	3.810	3.466	4.686	3.196	1.611	2.982	2.594	1.671	1.526	1.679	2.179	0.791	0.621	2.080	2.705
evm.model.Seg4844.1.2.57f48f7c	0.869	1.653	0.542	0.636	4.232	0.496	0.307	0.949	0.291	0.558	0.587	0.812	0.116	0.000	0.000	0.000	0.177	0.333
evm.model.Seg918.3	0.000	0.116	0.083	0.114	0.164	0.009	0.000	0.128	0.231	0.279	4.591	6.070	5.624	12.013	0.000	0.201	4.152	0.911
evm.model.Seg918.3.1.57f48f7e	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.316	0.000
evm.model.Seg918.4	0.054	0.155	0.083	0.047	0.528	0.162	0.051	0.128	0.221	0.167	0.835	1.206	1.323	3.303	0.101	0.329	3.929	0.231
